case_index,adventure_order,adventure_id,adventure_title,page_count,dimension,catalog_columns,manifest_origin,source_queue,status_at_prepare,manifest_path
138,37,ADV-0230,Salvage Operation,9,Levels,Level Start + Level End,synthesized_from_frozen_template,production-backlog-009,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-qwen-levels-adv0230-v1.yml
139,37,ADV-0230,Salvage Operation,9,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0230-v1.yml
140,37,ADV-0230,Salvage Operation,9,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0230-v1.yml
141,37,ADV-0230,Salvage Operation,9,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0230-v1.yml
142,37,ADV-0230,Salvage Operation,9,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0230-v1.yml
143,38,ADV-0071,Argynvostholt,17,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0071-v1.yml
144,38,ADV-0071,Argynvostholt,17,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0071-v1.yml
145,38,ADV-0071,Argynvostholt,17,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0071-v1.yml
146,38,ADV-0071,Argynvostholt,17,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0071-v1.yml
147,39,ADV-0077,Death House,10,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0077-v1.yml
148,39,ADV-0077,Death House,10,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0077-v1.yml
149,39,ADV-0077,Death House,10,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0077-v1.yml
150,39,ADV-0077,Death House,10,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0077-v1.yml
151,40,ADV-0073,Wizard of Wines,8,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0073-v1.yml
152,40,ADV-0073,Wizard of Wines,8,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0073-v1.yml
153,40,ADV-0073,Wizard of Wines,8,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0073-v1.yml
154,40,ADV-0073,Wizard of Wines,8,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0073-v1.yml
155,41,ADV-0115,For Whom the Void Calls,13,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0115-v1.yml
156,41,ADV-0115,For Whom the Void Calls,13,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0115-v1.yml
157,41,ADV-0115,For Whom the Void Calls,13,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0115-v1.yml
158,41,ADV-0115,For Whom the Void Calls,13,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0115-v1.yml
159,42,ADV-0119,Shivering Death,13,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0119-v1.yml
160,42,ADV-0119,Shivering Death,13,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0119-v1.yml
161,42,ADV-0119,Shivering Death,13,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0119-v1.yml
162,42,ADV-0119,Shivering Death,13,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0119-v1.yml
163,43,ADV-0243,Bluemaw Cave,4,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0243-v1.yml
164,43,ADV-0243,Bluemaw Cave,4,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0243-v1.yml
165,43,ADV-0243,Bluemaw Cave,4,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0243-v1.yml
166,43,ADV-0243,Bluemaw Cave,4,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0243-v1.yml
167,44,ADV-0236,When Home Burns,25,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0236-v1.yml
168,44,ADV-0236,When Home Burns,25,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0236-v1.yml
169,44,ADV-0236,When Home Burns,25,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0236-v1.yml
170,44,ADV-0236,When Home Burns,25,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0236-v1.yml
171,45,ADV-0241,Sunward Fortress,5,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0241-v1.yml
172,45,ADV-0241,Sunward Fortress,5,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0241-v1.yml
173,45,ADV-0241,Sunward Fortress,5,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0241-v1.yml
174,45,ADV-0241,Sunward Fortress,5,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0241-v1.yml
175,46,ADV-0145,Silk and Suffering,1,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0145-v1.yml
176,46,ADV-0145,Silk and Suffering,1,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0145-v1.yml
177,46,ADV-0145,Silk and Suffering,1,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0145-v1.yml
178,46,ADV-0145,Silk and Suffering,1,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0145-v1.yml
179,47,ADV-0154,Restoring Freedale,1,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0154-v1.yml
180,47,ADV-0154,Restoring Freedale,1,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0154-v1.yml
181,47,ADV-0154,Restoring Freedale,1,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0154-v1.yml
182,47,ADV-0154,Restoring Freedale,1,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0154-v1.yml
183,48,ADV-0161,Gods Long Forgotten,1,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0161-v1.yml
184,48,ADV-0161,Gods Long Forgotten,1,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0161-v1.yml
185,48,ADV-0161,Gods Long Forgotten,1,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0161-v1.yml
186,48,ADV-0161,Gods Long Forgotten,1,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0161-v1.yml
187,49,ADV-0233,Tammeraut's Fate,21,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0233-v1.yml
188,49,ADV-0233,Tammeraut's Fate,21,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0233-v1.yml
189,49,ADV-0233,Tammeraut's Fate,21,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0233-v1.yml
190,49,ADV-0233,Tammeraut's Fate,21,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0233-v1.yml
191,50,ADV-0228,The Sinister Secret of Saltmarsh,23,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0228-v1.yml
192,50,ADV-0228,The Sinister Secret of Saltmarsh,23,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0228-v1.yml
193,50,ADV-0228,The Sinister Secret of Saltmarsh,23,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0228-v1.yml
194,50,ADV-0228,The Sinister Secret of Saltmarsh,23,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0228-v1.yml
195,51,ADV-0024,The Cloakwood Mines,6,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0024-v1.yml
196,51,ADV-0024,The Cloakwood Mines,6,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0024-v1.yml
197,51,ADV-0024,The Cloakwood Mines,6,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0024-v1.yml
198,51,ADV-0024,The Cloakwood Mines,6,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0024-v1.yml
199,52,ADV-0022,Beneath Baldur's Gate,14,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0022-v1.yml
200,52,ADV-0022,Beneath Baldur's Gate,14,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0022-v1.yml
201,52,ADV-0022,Beneath Baldur's Gate,14,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0022-v1.yml
202,52,ADV-0022,Beneath Baldur's Gate,14,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0022-v1.yml
203,53,ADV-0025,The Shadow Druids,6,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0025-v1.yml
204,53,ADV-0025,The Shadow Druids,6,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0025-v1.yml
205,53,ADV-0025,The Shadow Druids,6,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0025-v1.yml
206,53,ADV-0025,The Shadow Druids,6,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0025-v1.yml
207,54,ADV-0221,Wyrmdoom Crag,4,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0221-v1.yml
208,54,ADV-0221,Wyrmdoom Crag,4,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0221-v1.yml
209,54,ADV-0221,Wyrmdoom Crag,4,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0221-v1.yml
210,54,ADV-0221,Wyrmdoom Crag,4,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0221-v1.yml
211,55,ADV-0175,Wages of Vice,10,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0175-v1.yml
212,55,ADV-0175,Wages of Vice,10,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0175-v1.yml
213,55,ADV-0175,Wages of Vice,10,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0175-v1.yml
214,55,ADV-0175,Wages of Vice,10,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0175-v1.yml
215,56,ADV-0176,Sins of Our Elders,12,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0176-v1.yml
216,56,ADV-0176,Sins of Our Elders,12,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0176-v1.yml
217,56,ADV-0176,Sins of Our Elders,12,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0176-v1.yml
218,56,ADV-0176,Sins of Our Elders,12,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0176-v1.yml
219,57,ADV-0042,Chasing the Inferno,16,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0042-v1.yml
220,57,ADV-0042,Chasing the Inferno,16,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0042-v1.yml
221,57,ADV-0042,Chasing the Inferno,16,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0042-v1.yml
222,57,ADV-0042,Chasing the Inferno,16,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0042-v1.yml
223,58,ADV-0272,Gibbet Crossing,11,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0272-v1.yml
224,58,ADV-0272,Gibbet Crossing,11,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0272-v1.yml
225,58,ADV-0272,Gibbet Crossing,11,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0272-v1.yml
226,58,ADV-0272,Gibbet Crossing,11,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0272-v1.yml
227,59,ADV-0263,Cragmaw Hideout,7,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0263-v1.yml
228,59,ADV-0263,Cragmaw Hideout,7,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0263-v1.yml
229,59,ADV-0263,Cragmaw Hideout,7,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0263-v1.yml
230,59,ADV-0263,Cragmaw Hideout,7,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0263-v1.yml
231,60,ADV-0273,Illithinoch,15,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0273-v1.yml
232,60,ADV-0273,Illithinoch,15,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0273-v1.yml
233,60,ADV-0273,Illithinoch,15,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0273-v1.yml
234,60,ADV-0273,Illithinoch,15,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0273-v1.yml
235,61,ADV-0037,Beyond the Crystal Cave,26,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0037-v1.yml
236,61,ADV-0037,Beyond the Crystal Cave,26,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0037-v1.yml
237,61,ADV-0037,Beyond the Crystal Cave,26,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0037-v1.yml
238,61,ADV-0037,Beyond the Crystal Cave,26,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0037-v1.yml
239,62,ADV-0014,Expert Treasure Hunters,6,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0014-v1.yml
240,62,ADV-0014,Expert Treasure Hunters,6,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0014-v1.yml
241,62,ADV-0014,Expert Treasure Hunters,6,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0014-v1.yml
242,62,ADV-0014,Expert Treasure Hunters,6,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0014-v1.yml
243,63,ADV-0017,To Soothe a Savage Beast,7,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0017-v1.yml
244,63,ADV-0017,To Soothe a Savage Beast,7,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0017-v1.yml
245,63,ADV-0017,To Soothe a Savage Beast,7,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0017-v1.yml
246,63,ADV-0017,To Soothe a Savage Beast,7,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0017-v1.yml
247,64,ADV-0305,Dripping Caves,5,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0305-v1.yml
248,64,ADV-0305,Dripping Caves,5,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0305-v1.yml
249,64,ADV-0305,Dripping Caves,5,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0305-v1.yml
250,64,ADV-0305,Dripping Caves,5,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0305-v1.yml
251,65,ADV-0317,Hold of the Storm Giants,14,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0317-v1.yml
252,65,ADV-0317,Hold of the Storm Giants,14,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0317-v1.yml
253,65,ADV-0317,Hold of the Storm Giants,14,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0317-v1.yml
254,65,ADV-0317,Hold of the Storm Giants,14,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0317-v1.yml
255,66,ADV-0260,Clue in the Bayou,6,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0260-v1.yml
256,66,ADV-0260,Clue in the Bayou,6,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0260-v1.yml
257,66,ADV-0260,Clue in the Bayou,6,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0260-v1.yml
258,66,ADV-0260,Clue in the Bayou,6,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0260-v1.yml
259,67,ADV-0259,A Reckoning in Ruins,25,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0259-v1.yml
260,67,ADV-0259,A Reckoning in Ruins,25,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0259-v1.yml
261,67,ADV-0259,A Reckoning in Ruins,25,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0259-v1.yml
262,67,ADV-0259,A Reckoning in Ruins,25,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0259-v1.yml
263,68,ADV-0028,The Sunless Citadel,24,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0028-v1.yml
264,68,ADV-0028,The Sunless Citadel,24,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0028-v1.yml
265,68,ADV-0028,The Sunless Citadel,24,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0028-v1.yml
266,68,ADV-0028,The Sunless Citadel,24,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0028-v1.yml
267,69,ADV-0019,Dragon Hunt,24,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0019-v1.yml
268,69,ADV-0019,Dragon Hunt,24,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0019-v1.yml
269,69,ADV-0019,Dragon Hunt,24,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0019-v1.yml
270,69,ADV-0019,Dragon Hunt,24,Seriousness,Seriousness,reused,production-backlog-012,pending,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0019-v1.yml
271,70,ADV-0093,The Tomb of the Forgotten Paladin,10,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0093-v1.yml
272,70,ADV-0093,The Tomb of the Forgotten Paladin,10,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0093-v1.yml
273,70,ADV-0093,The Tomb of the Forgotten Paladin,10,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0093-v1.yml
